ROA,ROE,MCap,AvgVol
0.01699,0.0154,2528203505664,11855467
0.17222,0.30927,88601215893504,152288430
0.04285,0.10386,3552686899200,51226567
0.07776,0.093380004,244511766740992,123842701
0,0,263143385202688,49289123
0.03214,0.01511,3104605208576,26043745
0.02763,0.17377001,869088779829248,114846712
0,0,142323656687616,42513434
0.02516,0.16364,606173698981888,184324505
0.00679,0.1244,14826000613376,32420860
0.0238,0.00701,3197194993664,41677425
0.02089,0.16872999,345071631204352,76442281
0.02686,0.04374,18403792257024,23360236
0.0926,0.14924,94698450452480,12104445
0.026630001,0.02895,2087371014144,56537850
0.03171,0.06566,25603679977472,28655558
0,0,60753142874112,1126647
0.09211001,0.20214,110502101385216,32755003
0.066199996,0.15042,107581028696064,9569338
0.06711,0.09342,54153053208576,40248449
0.0625,0.13716,60804481155072,12025220
0.1261,0.31895,11914160635904,34990020
0.06628,0.12101,40485250924544,7098710
0.04414,0.07521,32520431206400,7846990
0.33325002,0.6124,37287358365696,5209374
0.02982,0.0462,26781539106816,6637774
0.103649996,0.16235,79215202402304,46965923
0.0076099997,-0.10561,7291895545856,52089332
0.1364,2.49199,12001504919552,4308634
0.04325,0.10751,15110238109696,95490378
0.10818,0.16939,12631976968192,21213496
0.046729997,0.13261,39028816609280,131878698
0.24135,0.44579,45374442045440,68899201
0.01121,0.02579,5628659499008,18174927
0.13201,0.23561001,13020723937280,172925467
0.040370002,0.055209998,40334335672320,13690545
-0.34455,-4.41068,2986021224448,0
0.08444,0.27816,11191875272704,9108072
0.10547,0.25496998,395258189840384,140467943
0.036930002,0.06415,189244127576064,2890667
0.099139996,0.18572001,98941962027008,6489990
0.24246,1.24384,179305002827776,42422569
0.00908,0.01258,8296186511360,17498329
-0.19375,-1.17318,2329010503680,0
-0.03088,-0.30224,7126350036992,40055710
